AppID;Name;Release date;Estimated owners;Peak CCU;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Metacritic score;Positive;Negative;Achievements;Recommendations;Notes;Average playtime forever;Developers;Tags
1651880;Welcome To Lakewood;17.06.2021;100000 - 200000;0;0;0.99;0;['English'];;1;0;0;0;7;2;0;0;Welcome To Lakewood is horror game that includes jumpscares, blood and gore, and some violence.;0;Space Slug Studios;Horror,First-Person,Investigation,Mystery,Adventure,Psychological Horror,Thriller,Story Rich,Exploration,3D,Stylized,Conspiracy,Hidden Object,Supernatural,Dark,Psychological,Interactive Fiction,Artificial Intelligence,Choices Matter,Combat
311120;The Stalin Subway: Red Veil;24.10.2014;50000 - 100000;0;0;2.99;0;['English', 'Russian'];;1;0;0;0;237;262;0;456;;154;Orion Games;Action,FPS,Female Protagonist,Shooter,First-Person,Singleplayer
410670;Suits: A Business RPG;05.01.2016;100000 - 200000;9;0;0.99;1;['English'];https://technomancystudios.com/;1;1;1;0;755;103;35;771;;263;Technomancy Studios;RPG,Dark Comedy,Stylized,Turn-Based Combat,Hand-drawn,Action,Action-Adventure,2D,JRPG,Exploration,Turn-Based,Capitalism,Action RPG,Horror,Surreal,Funny,Pixel Graphics,Political,Dystopian,Adventure
1131410;Sable's Grimoire: Man And Elf;19.06.2020;0 - 20000;2;0;5.99;2;['English'];https://zetsubou.games/;1;1;1;0;42;0;26;0;Contains fantasy violence and blood;0;Zetsubou;Indie,Casual,Simulation,Visual Novel,Romance,Comedy,Anime,Sexual Content
1417890;Catie in MeowmeowLand;30.03.2022;0 - 20000;1;0;14.99;0;['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese'];https://catieinmeowmeowland.com/;1;1;1;0;50;2;13;0;;0;ARTillery;Adventure,Point & Click,Puzzle,Cats,Surreal,Funny,Cute,Psychedelic,Atmospheric,Family Friendly,Hand-drawn,Comedy,2D,Colorful,Singleplayer,Casual,Indie,Story Rich,Narration,Relaxing
2006770;180 SECONDS;08.07.2022;0 - 20000;0;0;5.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Portuguese - Brazil', 'Simplified Chinese', 'Danish', 'Japanese', 'Romanian', 'Russian', 'Bulgarian', 'Dutch', 'Finnish', 'Norwegian', 'Polish', 'Swedish', 'Hungarian', 'Traditional Chinese'];;1;0;0;0;5;0;0;0;;0;ANTOLD Studio,Josemar B. Pedro;Puzzle-Platformer,Strategy,Clicker,Puzzle,Simulation,Detective,Investigation,Point & Click,3D,Choices Matter,Indie,Early Access,Multiple Endings,Logic,Singleplayer
1583840;R-Naught;23.11.2021;20000 - 50000;0;0;2.99;1;['English'];;1;0;0;0;2;0;11;0;Contains pixelated depictions of blood and gore.;0;Jirapher;CRPG,JRPG,RPG,2D,Top-Down,Horror,Post-apocalyptic,Dark Humor,Story Rich,Turn-Based Combat,Pixel Graphics,Space,Sci-fi,Magic,Mythology,Werewolves,Adventure,Old School,Futuristic,Singleplayer
516940;MineSweeper VR;25.08.2016;0 - 20000;0;0;1.99;1;['English'];http://funnytwins.ru/;1;0;0;0;31;8;5;0;;4;Funny Twins;Action,Indie,Casual,Simulation,VR,Puzzle,VR Only
1304320;重装无限·Metal Infinite;16.07.2020;0 - 20000;1;0;1.99;0;['Simplified Chinese', 'Traditional Chinese'];;1;0;0;0;29;6;14;0;;0;路过的骑士皇;Tanks,Futuristic,Robots,Sci-fi,Mechs,Indie,Vehicular Combat,Action,Adventure,RPG,Combat,Third Person,Action RPG,Open World,Exploration,Post-apocalyptic,Survival,Singleplayer,Top-Down Shooter,Real Time Tactics
1471960;Room to Grow;25.02.2021;0 - 20000;1;0;9.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Japanese', 'Polish', 'Vietnamese', 'Arabic', 'Czech'];https://roomtogrowgame.com/;1;1;0;76;117;4;0;109;;46;Mischka Kamener;Puzzle,Difficult,Indie,Singleplayer,Sokoban,Casual,Cute,Strategy,2D,Relaxing,Stylized,Logic
